"method","columns"
"mg_satx_method","ca_plus_mg_satx"
"ca_plus_mg_satx_method","na_satx"
"na_satx_method","k_satx"
"k_satx_method","co3_satx"
"co3_satx_method","hco3_satx"
"hco3_satx_method","co3_plus_hco3_satx"
"co3_plus_hco3_satx_method","cl_satx"
"cl_satx_method","f_satx"
"f_satx_method","po4_satx"
"po4_satx_method","br_satx"
"br_satx_method","oac_satx"
"oac_satx_method","so4_satx"
"so4_satx_method","no2_satx"
"no2_satx_method","no3_satx"
"no3_satx_method","h20_satx"
"h20_satx_method","electrical_conductivity_satx"
"electrical_cond_satx_method","ec_predict_one_to_two"
"ec_predict_one_to_two_method","melanic_index"
"melanic_index_method","new_zealand_phosphorus_retent"
"new_zealand_phos_retent_method","phosphorus_ammonium_oxalate"
"phosphorus_ammonium_oxalate_method","phosphorus_anion_resin_one_hr"
"phosphorus_ammonium_oxalate_method","phosphorus_anion_resin_24_hr"
"phosphorus_anion_resin_method","phosphorus_bray1"
"phosphorus_bray1_method","phosphorus_bray2"
"phosphorus_bray2_method","phosphorus_citric_acid"
"phosphorus_citric_acid_method","phosphorus_mehlich_3"
"phosphorus_mehlich_3_method","phosphorus_olsen"
"phosphorus_olsen_method","phosphorus_water"
"phosphorus_water_method","nitrate_1m_kcl"
"water_extract_method","acetate_water_extractable"
"water_extract_method","aluminum_water_extractable"
"water_extract_method","arsenic_water_extractable"
"water_extract_method","barium_water_extractable"
"water_extract_method","boron_water_extractable"
"water_extract_method","bromide_water_extractable"
"water_extract_method","cadmium_water_extractable"
"water_extract_method","calcium_water_extractable"
"water_extract_method","chloride_water_extractable"
"water_extract_method","chromium_water_extractabe"
"water_extract_method","cobalt_water_extractable"
"water_extract_method","copper_water_extracable"
"water_extract_method","ec_water_extract"
"water_extract_method","fluoride_water_extractable"
"water_extract_method","iron_water_extractable"
"water_extract_method","lead_water_extractable"
"water_extract_method","magnesium_water_extractable"
"water_extract_method","manganese_water_extractable"
"water_extract_method","molybdenum_water_extractable"
"water_extract_method","nickel_water_extractable"
"water_extract_method","nitrate_n_water_extractable"
"water_extract_method","nitrate_water_extractable"
"water_extract_method","nitrite_water_extractable"
"water_extract_method","phosphorus_water_extractable"
"water_extract_method","phosphate_water_extractable"
"water_extract_method","potassium_water_extractable"
"water_extract_method","selenium_water_extractable"
"water_extract_method","silicon_water_extractable"
"water_extract_method","sodium_water_extractable"
"water_extract_method","strontium_water_extractable"
"water_extract_method","sulfate_water_extractable"
"water_extract_method","vanadium_water_extractable"
"water_extract_method","zinc_water_extractable"
"mehlich_3_extractable_method","aluminum_mehlich3_extractable"
"mehlich_3_extractable_method","arsenic_mehlich3_extractable"
"mehlich_3_extractable_method","barium_mehlich3_extractable"
"mehlich_3_extractable_method","cadmium_mehlich3_extractable"
"mehlich_3_extractable_method","calcium_mehlich3_extractable"
"mehlich_3_extractable_method","chromium_mehlich3_extractable"
"mehlich_3_extractable_method","cobalt_mehlich3_extractable"
"mehlich_3_extractable_method","copper_mehlich3_extractable"
"mehlich_3_extractable_method","iron_mehlich3_extractable"
"mehlich_3_extractable_method","lead_mehlich3_extractable"
"mehlich_3_extractable_method","magnesium_mehlich3_extractable"
"mehlich_3_extractable_method","manganese_mehlich3_extractable"
"mehlich_3_extractable_method","molybdenum_mehlich3_extractabl"
"mehlich_3_extractable_method","nickel_mehlich3_extractable"
"mehlich_3_extractable_method","phosphorus_mehlich3_extractable"
"mehlich_3_extractable_method","potassium_mehlich3_extractable"
"mehlich_3_extractable_method","selenium_mehlich3_extractable"
"mehlich_3_extractable_method","silicon_mehlich3_extractable"
"mehlich_3_extractable_method","sodium_mehlich3_extractable"
"mehlich_3_extractable_method","strontium_mehlich3_extractable"
"mehlich_3_extractable_method","zinc_mehlich3_extractable"
"mehlich_3_extractable_method","sum_of_nh4_ph_7_ext_bases"
"mehlich_3_extractable_method","sum_of_cations_cec_ph_8_2"
"mehlich_3_extractable_method","ecec_base_plus_aluminum"
"mehlich_3_extractable_method","aluminum_saturation"
"mehlich_3_extractable_method","base_sat_sum_of_cations_ph_8_2"
"mehlich_3_extractable_method","base_sat_nh4oac_ph_7"
"mehlich_3_extractable_method","estimated_organic_carbon"
"mehlich_3_extractable_method","carbon_to_nitrogen_ratio"
"mehlich_3_extractable_method","aluminum_plus_half_iron_oxalat"
"mehlich_3_extractable_method","caco3_lt_20_mm"
"mehlich_3_extractable_method","gypsum_lt_20_mm"
"mehlich_3_extractable_method","ca_to_mg_ratio"
"mehlich_3_extractable_method","total_estimated_salts_satx"
"mehlich_3_extractable_method","exchangeable_sodium"
"mehlich_3_extractable_method","sodium_absorption_ratio"
"mehlich_3_extractable_method","phosphorus_anion_resin_capacit"
