"table_name","field_sequence","column_name","column_description"
"lab_calculations_and_estimates","10","bulk_density_saturated_whole_s","The bulk density of saturated whole soil is calculated from the bulk density and water content at 1/3 bar water tension, and the amount of water needed to saturate the 1/3 bar soil. It is reported as grams per cubic centimeter on a whole soil base."
"lab_calculations_and_estimates","8","bulk_density_third_bar_ws","Bulk density, whole soil, 1/3 bar is the weight per unit volume of the soil, with volume being measured after equilibration at 1/3 bar water tension. It is reported as grams per cubic centimeter on a whole soil base."
"lab_calculations_and_estimates","36","bulk_density_whole_soil_moist","Bulk density, whole soil, moist is the weight per unit volume of the whole soil, with volume measured at field (sampling) moisture in clods. It is reported as grams per cubic centimeter, whole soil base."
"lab_calculations_and_estimates","80","cumulative_curve_less_than_1mm","The cumulative gravimetric percentage of particles with <1.0 mm diameter, reported on a <3 inch base. (< 75 mm)"
"lab_calculations_and_estimates","43","cumulative_curve_lt_1_fourthmm","The cumulative gravimetric percentage of particles with <0.25 mm diameter, reported on a <3 inch base."
"lab_calculations_and_estimates","81","cumulative_curve_lt_1_half_mm","The cumulative gravimetric percentage of particles with <0.5 mm diameter, reported on a <3 inch base.  ( < 75 mm base)"
"lab_calculations_and_estimates","44","cumulative_curve_lt_1_tenth_mm","The cumulative gravimetric percentage of particles with <0.10 mm diameter, reported on a <3 inch base. (< 75 mm base)"
"lab_calculations_and_estimates","45","cumulative_curve_lt_5_hundredt","The cumulative gravimetric percentage of particles with <0.05 mm diameter, reported on a <3 inch base. (< 75 mm base)"
"lab_calculations_and_estimates","48","cumulative_curve_size_lt_10_pe","The particle diameter (mm) at which 10% (by weight) of the particles in the <3 inch base sample are finer. ( < 75 mm base)"
"lab_calculations_and_estimates","47","cumulative_curve_size_lt_50_pe","The particle diameter (mm) at which 50% (by weight) of the particles in the <3 inch base sample are finer. ( < 75 mm base)"
"lab_calculations_and_estimates","46","cumulative_curve_size_lt_60_pe","The particle diameter (mm) at which 60% (by weight) of the particles in the <3 inch base sample are finer. ( < 75 mm base)"
"lab_calculations_and_estimates","50","gradation_curvature","The coefficient of curvature is a descriptive parameter calculated from the cumulative grain size distribution curve (gradation curve). It is used in the Unified Soil Classification System to evaluate grading characteristics of coarse materials."
"lab_calculations_and_estimates","49","gradiation_uniformity","The coefficient of uniformity is a descriptive parameter calculated from the cumulative grain size distribution curve (gradation curve). It is used in the Unified Soil Classification System to evaluate grading characteristics of coarse materials. (< 75 mm fraction)"
"lab_calculations_and_estimates","1","labsampnum","A unique identifier number for the pedon assigned by the laboratory. This number is used to link the morphological pedon description with the associated measured property values from the laboratory."
"lab_calculations_and_estimates","0","layer_key","An integer number that uniquely identifies a particular layer"
"lab_calculations_and_estimates","52","le_third_bar_to_oven_dry_rewet","Linear extensibility percent, rewet, 1/3 bar/OD isthe percent dimensional change of a rewet clod as water content changes from oven dry to 1/3 bar tension. It is reported as percent length change on a<2 mm base."
"lab_calculations_and_estimates","53","le_third_fifteen_whole_soil","Linear extensibility percent, whole soil,1/3 bar/15 bar is the percent change in a clod dimension as water content changes from 15 bar to 1/3 bar tension. It is reported as percent length change on a whole soil base."
"lab_calculations_and_estimates","51","le_third_ovendry_whole_soi","Linear extensibility percent, whole soil,1/3 bar/Ovendry is the percent change in a clod dimension as water content changes from ovendry to 1/3 bar tension. It is reported as percent length change on a whole soil base."
"lab_calculations_and_estimates","7","particle_density_calc_sour","particle_density_calc_sour"
"lab_calculations_and_estimates","6","particle_density_for_calc","particle_density_for_calc"
"lab_calculations_and_estimates","15","pct_pores_drained_third_bar_ws","Drained pores at 1/3 bar tension is the volumetric percent of drained pores at 1/3 bar water tension, reported on a whole soil base. These are defined as noncapillary pores."
"lab_calculations_and_estimates","16","pct_pores_filled_third_bar_ws","Filled pores at 1/3 bar tension is the volumetric percent of water filled pores at 1/3 bar water tension, reported on a whole soil base."
"lab_calculations_and_estimates","69","percent_passing_1_and_1_half","This is the cumulative gravimetric percentage of particles passing through a 1.5 inch sieve, reported on a <3 inch base. (< 75 mm)"
"lab_calculations_and_estimates","70","percent_passing_1_inch_sieve","This is the cumulative gravimetric percentage of particles passing through a 1 inch sieve, reported on a <3 inch base. ( < 75 mm)"
"lab_calculations_and_estimates","68","percent_passing_2_inch_sieve","This is the cumulative gravimetric percentage of particles passing through a 2 inch sieve, reported on a <3 inch base.(<75 mm)"
"lab_calculations_and_estimates","79","percent_passing_2_micron_sieve","This is the cumulative gravimetric percentage of particles with diameters <2 microns (0.002 mm), reported on a <3 inch base. ( < 75 mm base)"
"lab_calculations_and_estimates","77","percent_passing_20_micron_siev","This is the cumulative gravimetric percentage of particles with diameters <20 microns (0.02 mm), reported on a <3 inch base. ( < 75 mm base)"
"lab_calculations_and_estimates","72","percent_passing_3_eights_inch","This is the cumulative gravimetric percentage of particles passing through a 3/8 inch sieve, reported on a <3 inch base. ( < 75 mm base)"
"lab_calculations_and_estimates","35","percent_passing_3_inch_sieve","This is the cumulative gravimetric percentage of particles passing through a 3 inch sieve, reported on a <3 inch base.(<75 mm)"
"lab_calculations_and_estimates","71","percent_passing_3_quarter_inch","This is the cumulative gravimetric percentage of particles passing through a 3/4 inch sieve, reported on a <3 inch base. (< 75 mm)"
"lab_calculations_and_estimates","78","percent_passing_5_micron_sieve","This is the cumulative gravimetric percentage of particles with diameters <5 microns (0.005 mm), reported on a <3 inch base.  ( < 75 mm base)"
"lab_calculations_and_estimates","74","percent_passing_no_10_sieve","This is the cumulative gravimetric percentage of particles passing through a No. 10 (2.00 mm) sieve, reported on a <3 inch base.  ( < 75 mm base)"
"lab_calculations_and_estimates","76","percent_passing_no_200_sieve","This is the cumulative gravimetric percentage of particles passing through a No. 200 (0.074 mm) sieve, reported on a <3 inch base. ( < 75 mm base)"
"lab_calculations_and_estimates","73","percent_passing_no_4_sieve","This is the cumulative gravimetric percentage of particles passing through a No. 4 (4.76 mm) sieve, reported on a <3 inch base. ( < 75 mm base)"
"lab_calculations_and_estimates","75","percent_passing_no_40_sieve","This is the cumulative gravimetric percentage of particles passing through a No. 40 (0.42 mm) sieve, reported on a <3 inch base. ( < 75 mm base)"
"lab_calculations_and_estimates","57","pores_drained_third_bar_ws","Drained pores at 1/3 bar tension is the volumetric percent of drained pores at 1/3 bar water tension, reported on a whole soil base. These are defined as noncapillary pores."
"lab_calculations_and_estimates","58","pores_filled_third_bar_ws","Filled pores at 1/3 bar tension is the volumetric percent of water filled pores at 1/3 bar water tension, reported on a whole soil base."
"lab_calculations_and_estimates","3","prep_code","A character string containing the Soil Survey Laboratory code used to identify the type of sample preparation."
"lab_calculations_and_estimates","2","result_source_key","Foreign key to the pedon or layer table depending on the result_type"
"lab_calculations_and_estimates","54","void_ratio_third_bar_lt_2_mm","The void ratio at 1/3 bar, <2 mm is the calculated ratio of pore volume to solids volume at 1/3 bar water tension, reported as a ratio on a <2 mm base."
"lab_calculations_and_estimates","55","void_ratio_third_bar_whole_soi","The void ratio at 1/3 bar, whole soil is the calculated ratio of pore volume to solids volume at 1/3 bar water tension, reported as a ratio on a whole soil base."
"lab_calculations_and_estimates","13","vol_pct_usda_silt_third_bar_ws","Particles with 0.002 to 0.05 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base."
"lab_calculations_and_estimates","67","volume_pct_2_to_5_mm_third_ws","Particles with 2 to 5 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base."
"lab_calculations_and_estimates","64","volume_pct_2_to_75_mm_third_ws","Particles with 2 to 75 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base."
"lab_calculations_and_estimates","65","volume_pct_20_to_75_mm_third_w","Particles with 20 to 75 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base."
"lab_calculations_and_estimates","66","volume_pct_5_to_20_mm_third_ws","Particles with 5 to 20 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base."
"lab_calculations_and_estimates","63","volume_pct_75_to_250_mm_third","Particles with 75 to 250 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base."
"lab_calculations_and_estimates","61","volume_pct_gt_2_mm_thirdbarws","volume_pct_gt_2_mm_thirdbarws"
"lab_calculations_and_estimates","62","volume_pct_gt_250_mm_thirdbarw","Particles with >250 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base."
"lab_calculations_and_estimates","11","volume_pct_lt_2_mm_third_ws","Particles with <2 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base."
"lab_calculations_and_estimates","14","volume_pct_usda_clay_ws","Particles with <0.002 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base."
"lab_calculations_and_estimates","12","volume_pct_usda_sand_ws","Particles with 0.05 to 2.0 mm diameter are reported as a volume percent on a whole soil at 1/3 bar water tension base."
"lab_calculations_and_estimates","56","water_retention_difference_ws","The volume of water released when the soil is dried from 1/3 bar to 15 bars of water tension. It is reported on a whole soil base as centimeters of water per centimeter depth of soil, but the value is constant for other units."
"lab_calculations_and_estimates","59","weight_pct_2_to_5_mm_ws","The gravimetric percentage of 2 to 5 mm diameter particles is reported on a whole soil base."
"lab_calculations_and_estimates","40","weight_pct_2_to_75_mm_ws","The gravimetric percentage of 2 to 75 mm diameter particles is reported on a whole soil base."
"lab_calculations_and_estimates","41","weight_pct_20_to_75_mm_ws","The gravimetric percentage of 20 to 75 mm diameter particles is reported on a whole soil base."
"lab_calculations_and_estimates","42","weight_pct_5_to_20_mm_ws","The gravimetric percentage of 5 to 20 mm diameter particles is reported on a whole soil base."
"lab_calculations_and_estimates","39","weight_pct_75_to_250_mm_ws","The gravimetric percentage of 75 to 250 mm diameter particles is reported on a whole soil base."
"lab_calculations_and_estimates","60","weight_pct_less_than_2_mm_ws","The weight fraction of particles with <2 mm diameter is reported as a gravimetric percent on a whole soil base."
"lab_calculations_and_estimates","37","weight_percent_gt_2_mm_ws","The weight fraction of particles with >2 mm diameter is reported as a gravimetric percent on a whole soil base."
"lab_calculations_and_estimates","38","weight_percent_gt_250_mm_ws","The gravimetric percentage of >250 mm diameter particles is reported on a whole soil base."
"lab_calculations_and_estimates","34","wf_0175","The gravimetric percentage of 0.1 to 75 mm diameter particles is reported on a = 15%. Algorithm: (100. - wf_275) * ((sand_vc_psa + sand_m_psa + sand_f_psa + sand_c_psa) / 100.) + wf_275"
"lab_calculations_and_estimates","33","wf_2075","Volume of fragments 20 to 75 mm on a whole soil base."
"lab_calculations_and_estimates","31","wf_25","Volume of fragments 2 to 5 mm on a Whole_Soil_Base"
"lab_calculations_and_estimates","32","wf_520","Volume of fragments with a diameter of 2 to 5 mm on a Whole Soil Base"
"lab_calculations_and_estimates","19","wt_pct_2_20_mm_clay_free_ws","The gravimetric percent of particles with 2.0-20 mm diameter, reported on a clay free whole soil base."
"lab_calculations_and_estimates","18","wt_pct_2_75_mm_clay_free_ws","The gravimetric percent of particles with 2.0-75 mm diameter, reported on a clay free whole soil base."
"lab_calculations_and_estimates","30","wt_pct_clay_clay_free_2mmbase","The gravimetric percent of particles with <0.002 mm diameter (total clay), reported on a clay free <2 mm base."
"lab_calculations_and_estimates","24","wt_pct_cs_clay_free_lt2mmbase","The gravimetric percent of particles with 0.5-1.0 mm diameter (coarse sand), reported on a clay free <2 mm base."
"lab_calculations_and_estimates","28","wt_pct_csi_clay_free_lt2mmbase","The gravimetric percent of particles with 0.02-0.05 mm diameter (coarse silt), reported on a clay free <2 mm base."
"lab_calculations_and_estimates","26","wt_pct_fs_clay_free_lt2mmbase","The gravimetric percent of particles with 0.10-0.25 mm diameter (fine sand), reported on a clay free <2 mm base."
"lab_calculations_and_estimates","29","wt_pct_fsi_clay_free_lt2mmbase","The gravimetric percent of particles with 0.002-0.02 mm diameter (fine silt), reported on a clay free <2 mm base."
"lab_calculations_and_estimates","17","wt_pct_gt_2_mm_clay_free_ws","The gravimetric percent of particles with >2.0 mm diameter, reported on a clay free whole soil base."
"lab_calculations_and_estimates","25","wt_pct_ms_clay_free_lt2mmbase","The gravimetric percent of particles with 0.25-0.50 mm diameter (medium sand), reported on a clay free <2 mm base."
"lab_calculations_and_estimates","20","wt_pct_sand_clay_free_ws","The gravimetric percent of particles with 0.05-2.0 mm diameter, reported on a clay free whole soil base."
"lab_calculations_and_estimates","21","wt_pct_silt_clay_free_ws","The gravimetric percent of particles with 0.002-0.05 mm diameter, reported on a clay free whole soil base."
"lab_calculations_and_estimates","22","wt_pct_tot_clay_clay_free_ws","The gravimetric percent of particles with <0.002 mm diameter (total clay), reported on a clay free whole soil base."
"lab_calculations_and_estimates","23","wt_pct_vcs_clay_free_lt2mmbase","The gravimetric percent of particles with 1.0-2.0 mm diameter (very coarse sand), reported on a clay free <2 mm base."
"lab_calculations_and_estimates","27","wt_pct_vfs_clay_free_lt2mmbase","The gravimetric percent of particles with 0.05-0.10 mm diameter (very fine sand), reported on a clay free <2 mm base."
"lab_chemical_properties","137","acetate_water_extractable","The acetate anion in the water extract."
"lab_chemical_properties","12","acidity_bacl2_tea_ph_8_2","Extractable acidity, BaCl2-TEA at pH 8.2, is a measure of the amount of acid neutralized at a set pH. It is a measure of the potential acidity present, and does not distinguish between exchangeable and nonexchangeable components."
"lab_chemical_properties","13","acidity_bacl2_tea_ph_82_method","acidity_bacl2_tea_ph_82 analysis method"
"lab_chemical_properties","41","al_ammonium_oxalate_method","al_ammonium_oxalate analysis method"
"lab_chemical_properties","40","aluminum_ammonium_oxalate","Ammonium  oxalate extractable aluminum is an estimate of the total pedogenic Al, much of which may be in noncrystalline materials or complexed by organic matter. It is reported as gravimetric percent on a <2 mm base."
"lab_chemical_properties","33","aluminum_dc_extract_method","aluminum_dc_extract analysis method"
"lab_chemical_properties","32","aluminum_dithionite_citrate","Dithionite citrate extractable aluminum is an indicator of the amount of aluminum substituted for iron in iron oxides. It does not necessarily represent total pedogenic Al."
"lab_chemical_properties","15","aluminum_kcl_extract_method","aluminum_kcl_extract analysis method"
"lab_chemical_properties","14","aluminum_kcl_extractable","KCl extractable aluminum approximates the exchangeable Al, and is a measure of the active acidity present in soils with a 1:1 water pH less than 5.5. It relates to the immediate lime requirement and the CEC of the soil."
"lab_chemical_properties","171","aluminum_mehlich3_extractable","The aluminum extracted by the Mehlich III solution."
"lab_chemical_properties","50","aluminum_na_pyro_phosphate","Sodium pyrophosphate extractable aluminum is the fraction extracted by 0.1M sodium pyrophosphate. It was originally considered the portion associated with organic compounds, although subsequent evidence indicates other forms are also removed."
"lab_chemical_properties","51","aluminum_na_pyro_phosphate_met","aluminum_na_pyro_phosphate_met"
"lab_chemical_properties","200","aluminum_plus_half_iron_oxalat","The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution."
"lab_chemical_properties","195","aluminum_saturation","Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
"lab_chemical_properties","138","aluminum_water_extractable","The aluminum extracted by the water solution."
"lab_chemical_properties","37","ammonium_ox_opt_dens_method","ammonium_ox_opt_dens analysis method"
"lab_chemical_properties","36","ammoniumoxalate_opticaldensity","Ammonium oxalate optical density is a measure of the light blocking capacity of the extract. It relates to the amount of noncrystalline materials dissolved by the solution."
"lab_chemical_properties","172","arsenic_mehlich3_extractable","The arsenic extracted by the Mehlich III solution."
"lab_chemical_properties","139","arsenic_water_extractable","The arsenic extracted by the water solution."
"lab_chemical_properties","173","barium_mehlich3_extractable","The barium extracted by the Mehlich III solution."
"lab_chemical_properties","140","barium_water_extractable","The barium extracted by the water solution."
"lab_chemical_properties","197","base_sat_nh4oac_ph_7","NH4OAC base saturation (pH 7.0) is calculated by (BASE_SUM/CEC_NH4)*100."
"lab_chemical_properties","196","base_sat_sum_of_cations_ph_8_2","Base saturation by sum of cations (pH 8.2) is calculated by (BASE_SUM/CEC_SUM)*100."
"lab_chemical_properties","141","boron_water_extractable","The boron extracted by the water solution."
"lab_chemical_properties","97","br_satx","The bromide anion in the saturation extract."
"lab_chemical_properties","98","br_satx_method","The bromide anion in the saturation extract."
"lab_chemical_properties","142","bromide_water_extractable","The bromide extracted by the water solution."
"lab_chemical_properties","47","c_na_pyro_phosphate_method","c_na_pyro_phosphate analysis method"
"lab_chemical_properties","4","ca_nh4_ph_7","NH4OAC extractable calcium is the fraction removed by pH 7.0 NH4OAC. It is assumed to represent the exchangeable Ca. It is reported as meq per 100 grams on a <2 mm base. It is not reported for samples containing carbonates or soluble salts."
"lab_chemical_properties","5","ca_nh4_ph_7_method","ca_nh4_ph_7 analysis method"
"lab_chemical_properties","79","ca_plus_mg_satx","CMS analyte. Calcium plus magnesium in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract."
"lab_chemical_properties","80","ca_plus_mg_satx_method","ca_plus_mg_satx analysis method"
"lab_chemical_properties","75","ca_satx","Calcium in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract."
"lab_chemical_properties","76","ca_satx_method","ca_satx analysis method"
"lab_chemical_properties","203","ca_to_mg_ratio","ca_to_mg_ratio"
"lab_chemical_properties","69","caco3_lt_2_mm","Carbonate in the < 2mm fraction is measured by CO2 evolution after acid treatment. It is reported as gravimetric percent CaCO3 on a <2 mm base, even though carbonates of Mg, Na, K, and Fe may be present and react with the acid."
"lab_chemical_properties","70","caco3_lt_2_mm_method","caco3_lt_2_mm analysis method"
"lab_chemical_properties","201","caco3_lt_20_mm","Carbonate in the less than 20mm fraction is measured by CO2 evolution after acid treatment. It is reported as gravimetric percent CaCO3 on a 20 mm base, even though carbonates of Mg, Na, K, and Fe may be present and react with the acid."
"lab_chemical_properties","174","cadmium_mehlich3_extractable","The cadmium extracted by the Mehlich III solution."
"lab_chemical_properties","143","cadmium_water_extractable","The cadmium extracted by the water solution."
"lab_chemical_properties","175","calcium_mehlich3_extractable","The calcium extracted by the Mehlich III solution."
"lab_chemical_properties","144","calcium_water_extractable","The calcium extracted by the water solution."
"lab_chemical_properties","46","carbon_sodium_pyro_phospate","Sodium pyrophosphate extractable carbon was originally thought to correspond to carbon that bound Fe and Al in spodic materials. It is reported on a <2 mm base."
"lab_chemical_properties","199","carbon_to_nitrogen_ratio","The carbon to nitrogen ratio is calculated by C_TOT_NCS/N_TOT_NCS. It provides information related to soil fertility and the state of organic matter decomposition. It is reported on a <2 mm base."
"lab_chemical_properties","20","cec_nh4_ph_7","CEC by NH4OAC is the cation exchange capacity of the sample, determined by 1N NH4OAC in a system highly buffered at pH 7.0. It is reported as meq per 100 grams sample, on a <2 mm base."
"lab_chemical_properties","21","cec_nh4_ph_7_method","cec_nh4_ph_7 analysis method"
"lab_chemical_properties","145","chloride_water_extractable","The chloride extracted by the water solution."
"lab_chemical_properties","176","chromium_mehlich3_extractable","The chromium extracted by the Mehlich III solution."
"lab_chemical_properties","146","chromium_water_extractabe","The chromium extracted by the water solution."
"lab_chemical_properties","91","cl_satx","Chloride in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract."
"lab_chemical_properties","92","cl_satx_method","cl_satx analysis method"
"lab_chemical_properties","89","co3_plus_hco3_satx","CMS analyte. Bicarbonate plus carbonate in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract."
"lab_chemical_properties","90","co3_plus_hco3_satx_method","co3_plus_hco3_satx analysis method"
"lab_chemical_properties","85","co3_satx","Carbonate in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract."
"lab_chemical_properties","86","co3_satx_method","co3_satx analysis method"
"lab_chemical_properties","177","cobalt_mehlich3_extractable","The  cobalt extracted by the Mehlich III solution."
"lab_chemical_properties","147","cobalt_water_extractable","The cobalt extracted by the water solution."
"lab_chemical_properties","178","copper_mehlich3_extractable","The copper extracted by the Mehlich III solution."
"lab_chemical_properties","148","copper_water_extracable","The copper extracted by the water solution."
"lab_chemical_properties","72","corrected_gyp_lt_2_mm_method","corrected_gyp_lt_2_mm analysis method"
"lab_chemical_properties","71","corrected_gypsum_lt_2_mm","Corrected Gypsum ( Uncorrected Gypsum * Factor)"
"lab_chemical_properties","111","ec_predict_one_to_two","The salt predict electrical conductivity is used to determine whether additional salt analyses are needed, and to estimate appropriate dilution ratios for additional tests. It is reported as mmhos per centimeter of a 1:2 soil:water mixture by weight."
"lab_chemical_properties","112","ec_predict_one_to_two_method","ec_predict_one_to_two analysis method"
"lab_chemical_properties","149","ec_water_extract","The electrical conductivity of the water extract solution."
"lab_chemical_properties","194","ecec_base_plus_aluminum","The effective cation exchange capacity is calculated by BASE_SUM+AL_KCL. It is not calculated if soluble salts are present. It is reported as meq per 100 grams on a <2 mm base."
"lab_chemical_properties","110","electrical_cond_satx_method","electrical_cond_satx analysis method"
"lab_chemical_properties","109","electrical_conductivity_satx","The electrical conductivity of the saturation extract is used to estimate the concentration of salts in a sample, and provides inferences on cation concentration in solution and osmotic pressure. It is reported as mmhos per centimeter."
"lab_chemical_properties","198","estimated_organic_carbon","CMS analyte. Organic carbon is a measure of all organic forms of carbon in the soil, including organic carbon within minerals."
"lab_chemical_properties","205","exchangeable_sodium","This is the exchangeable sodium percentage (ESP), reported on a <2 mm base. If salts are present, ESP has been corrected for the water soluble Na."
"lab_chemical_properties","93","f_satx","Fluoride in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract."
"lab_chemical_properties","94","f_satx_method","f_satx analysis method"
"lab_chemical_properties","38","fe_ammoniumoxalate_extractable","Ammonium oxalate extractable iron is considered a measure of the noncrystalline Fe in soils. It provides some inferences of the amount of Fe in various forms. It is reported as gravimetric % on a <2mm base."
"lab_chemical_properties","30","fe_dithionite_citrate_extract","Dithionite citrate extractable iron is considered a general measure of total pedogenic iron. It provides inferences on the amount of iron in various forms, P fixing potential, aggregate stability, and degree of weathering. Reported as grav % on <2mm."
"lab_chemical_properties","150","fluoride_water_extractable","The flouride extracted by the water solution."
"lab_chemical_properties","202","gypsum_lt_20_mm","Calcium sulfate as gypsum in the <20 mm fraction is reported as a gravimetric percent on a <20 mm base."
"lab_chemical_properties","107","h20_satx","Water content of the saturation paste is the gravimetric percent water in a sample prior to collection of the saturation extract."
"lab_chemical_properties","108","h20_satx_method","h20_satx analysis method"
"lab_chemical_properties","87","hco3_satx","Bicarbonate (HCO3) in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract."
"lab_chemical_properties","88","hco3_satx_method","hco3_satx analysis method"
"lab_chemical_properties","39","iron_ammonium_oxalate_method","iron_ammonium_oxalate analysis method"
"lab_chemical_properties","31","iron_dc_extract_method","iron_dc_extract analysis method"
"lab_chemical_properties","18","iron_kcl_extractable","iron_kcl_extractable"
"lab_chemical_properties","19","iron_kcl_extractable_method","iron_kcl_extractable analysis method"
"lab_chemical_properties","179","iron_mehlich3_extractable","The iron extracted by the Mehlich III solution."
"lab_chemical_properties","49","iron_na_pyro_phosphate_method","iron_na_pyro_phosphate analysis method"
"lab_chemical_properties","48","iron_sodium_pyro_phosphate","Sodium pyrophosphate extractable iron is assumed to be the fraction associated with organic complexes. It is reported as gravimetric percent on a <2 mm base."
"lab_chemical_properties","151","iron_water_extractable","The iron extracted by the water solution."
"lab_chemical_properties","10","k_nh4_ph_7","NH4OAC extractable potassium is the fraction removed by pH 7.0 NH4OAC. It is assumed to represent the exchangeable K. It is reported as meq per 100 grams on a <2 mm base."
"lab_chemical_properties","11","k_nh4_ph_7_method","k_nh4_ph_7 analysis method"
"lab_chemical_properties","83","k_satx","Potassium in the saturation extract is the fraction removed from a sample by saturating the sample with distilled H2O, then vacuum extracting the water. It is reported as meq per liter of extract."
"lab_chemical_properties","84","k_satx_method","k_satx analysis method"
"lab_chemical_properties","1","labsampnum","A unique identifier number for the pedon assigned by the laboratory. This number is used to link the morphological pedon description with the associated measured property values from the laboratory."
"lab_chemical_properties","0","layer_key","An integer number that uniquely identifies a particular layer"
"lab_chemical_properties","180","lead_mehlich3_extractable","The lead extracted by the Mehlich III solution."
"lab_chemical_properties","152","lead_water_extractable","The lead extracted by the water solution."
"lab_chemical_properties","181","magnesium_mehlich3_extractable","The magnesium extracted by the Mehlich III solution."
"lab_chemical_properties","153","magnesium_water_extractable","The magnesium extracted by the water solution."
"lab_chemical_properties","44","manganese_ammonium_oxalate","The ammonium oxalate extractable manganese is assumed to be the fraction held in noncrystalline compounds. It is reported as milligrams per kilogram on a <2 mm base."
"lab_chemical_properties","35","manganese_dc_extract_method","manganese_dc_extract analysis method"
"lab_chemical_properties","34","manganese_dithionite_citrate","Dithionite citrate extractable manganese is considered easily reducible manganese. It is reported as gravimetric percent on a 0.2% are rare."
"lab_chemical_properties","17","manganese_kcl_extract_method","manganese_kcl_extract analysis method"
